Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2021","2021","kg/ha","6694.9","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2021","2021","t","5073590","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2022","2022","ha","757550","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2022","2022","kg/ha","8184.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2022","2022","t","6199950","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01330","Grapes","2023","2023","ha","753340","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01330","Grapes","2023","2023","kg/ha","8237","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01330","Grapes","2023","2023","t","6205260","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2000","2000","ha","1764767","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2000","2000","kg/ha","9076.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2000","2000","t","16018168.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2001","2001","ha","1915822","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2001","2001","kg/ha","8571.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2001","2001","t","16420734.7","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2002","2002","ha","1829333","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2002","2002","kg/ha","8975.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2002","2002","t","16418382.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2003","2003","ha","1684639","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2003","2003","kg/ha","7150.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2003","2003","t","12045463.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2004","2004","ha","1821419","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2004","2004","kg/ha","8990.7","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2004","2004","t","16375868","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2005","2005","ha","1658529","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2005","2005","kg/ha","8253.9","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2005","2005","t","13689322.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2006","2006","ha","1503619","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2006","2006","kg/ha","8581.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2006","2006","t","12903718.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2007","2007","ha","1529775","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2007","2007","kg/ha","9482.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2007","2007","t","14505519.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2008","2008","ha","1757438","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2008","2008","kg/ha","9125.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2008","2008","t","16037987.9","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2009","2009","ha","1744416","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2009","2009","kg/ha","8893.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2009","2009","t","15513841.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2010","2010","ha","1582727","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2010","2010","kg/ha","8829.9","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2010","2010","t","13975284.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2011","2011","ha","1596711","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2011","2011","kg/ha","9966.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2011","2011","t","15914121.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2012","2012","ha","1709936","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2012","2012","kg/ha","9002.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2012","2012","t","15393496.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2013","2013","ha","1843477","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2013","2013","kg/ha","8159.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2013","2013","t","15041226","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2014","2014","ha","1825121","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2014","2014","kg/ha","10050.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2014","2014","t","18343320","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2015","2015","ha","1637081","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2015","2015","kg/ha","8378.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2015","2015","t","13716048.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2016","2016","ha","1442805","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2016","2016","kg/ha","8206","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2016","2016","t","11839729","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2017","2017","ha","1435699","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2017","2017","kg/ha","10123.9","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2017","2017","t","14534897","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2018","2018","ha","1426260","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2018","2018","kg/ha","8820.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2018","2018","t","12580430","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2019","2019","ha","1506100","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2019","2019","kg/ha","8528.7","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2019","2019","t","12845020","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","1730030","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2020","2020","kg/ha","7934.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2020","2020","t","13726410","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2021","2021","ha","1549470","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2021","2021","kg/ha","9912","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2021","2021","t","15358290","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2022","2022","ha","1456090","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2022","2022","kg/ha","7470.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2022","2022","t","10877190","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","0112","Maize (corn)","2023","2023","ha","1314680","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","0112","Maize (corn)","2023","2023","kg/ha","9762.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","0112","Maize (corn)","2023","2023","t","12834600","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2000","2000","ha","15558","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2000","2000","kg/ha","1063.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2000","2000","t","16541.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2001","2001","ha","15889","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2001","2001","kg/ha","1056.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2001","2001","t","16787.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2002","2002","ha","17037","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2002","2002","kg/ha","1209.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2002","2002","t","20611","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2003","2003","ha","17353","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2003","2003","kg/ha","1300","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2003","2003","t","22558.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2004","2004","ha","17813","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2004","2004","kg/ha","1120.7","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2004","2004","t","19962.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2005","2005","ha","18339","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2005","2005","kg/ha","1192","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2005","2005","t","21861","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2006","2006","ha","18805","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2006","2006","kg/ha","977.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2006","2006","t","18382","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2007","2007","ha","18853","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2007","2007","kg/ha","1202.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2007","2007","t","22668","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2008","2008","ha","18851","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2008","2008","kg/ha","1703.7","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2008","2008","t","32116","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2009","2009","ha","18961","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2009","2009","kg/ha","1648.4","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2009","2009","t","31255.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2010","2010","ha","16875","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2010","2010","kg/ha","1878.9","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2010","2010","t","31706","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2011","2011","ha","16945","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2011","2011","kg/ha","1376.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2011","2011","t","23319.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2012","2012","ha","17055","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2012","2012","kg/ha","1733.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2012","2012","t","29561.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2013","2013","ha","17174","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2013","2013","kg/ha","1712.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2013","2013","t","29403","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2014","2014","ha","17214","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2014","2014","kg/ha","755.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2014","2014","t","13006","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2015","2015","ha","17326","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2015","2015","kg/ha","2001.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2015","2015","t","34675","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2016","2016","ha","17379","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2016","2016","kg/ha","1054.9","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2016","2016","t","18333","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2017","2017","ha","17379","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2017","2017","kg/ha","1054.9","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2017","2017","t","18332.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2018","2018","ha","17400","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2018","2018","kg/ha","1496.6","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2018","2018","t","26040","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2019","2019","ha","17720","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2019","2019","kg/ha","1327.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2019","2019","t","23520","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2020","2020","ha","16700","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2020","2020","kg/ha","1658.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2020","2020","t","27690","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2021","2021","ha","17010","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2021","2021","kg/ha","1620.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2021","2021","t","27560","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2022","2022","ha","17180","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2022","2022","kg/ha","1276.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2022","2022","t","21930","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01450","Olives","2023","2023","ha","16790","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01450","Olives","2023","2023","kg/ha","1771.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01450","Olives","2023","2023","t","29740","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01323","Oranges","2000","2000","ha","34","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01323","Oranges","2000","2000","kg/ha","16176.5","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01323","Oranges","2000","2000","t","550","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01323","Oranges","2001","2001","ha","34","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01323","Oranges","2001","2001","kg/ha","16235.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01323","Oranges","2001","2001","t","552","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01323","Oranges","2002","2002","ha","45","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01323","Oranges","2002","2002","kg/ha","15400","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01323","Oranges","2002","2002","t","693","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01323","Oranges","2003","2003","ha","45","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01323","Oranges","2003","2003","kg/ha","13577.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01323","Oranges","2003","2003","t","611","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01323","Oranges","2004","2004","ha","45","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01323","Oranges","2004","2004","kg/ha","14377.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01323","Oranges","2004","2004","t","647","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01323","Oranges","2005","2005","ha","45","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01323","Oranges","2005","2005","kg/ha","14311.1","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01323","Oranges","2005","2005","t","644","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01323","Oranges","2006","2006","ha","44","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01323","Oranges","2006","2006","kg/ha","17227.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01323","Oranges","2006","2006","t","758","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01323","Oranges","2007","2007","ha","720","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01323","Oranges","2007","2007","kg/ha","5969.2","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01323","Oranges","2007","2007","t","4297.8","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01323","Oranges","2008","2008","ha","738","A","Official figure",""
"QCL","Crops and livestock products","250","France","5412","Yield","01323","Oranges","2008","2008","kg/ha","6786.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5510","Production","01323","Oranges","2008","2008","t","5008.3","A","Official figure",""
"QCL","Crops and livestock products","250","France","5312","Area harvested","01323","Oranges","2009","2009","ha","698","A","Official figure",""
